Network,Station,Latitude,Longitude,TaxCode,Lambda,N_Cluster,P_Cluster
TA,M26A,41.5,-103.1,Intra_no_base,1.7,1,3.0
IW,RRI2,43.3,-111.3,Sub_lithospheric,0.9,3,4.0
TA,O34A,40.2,-96.7,Sub_lithospheric,1.4,1,4.0
TA,S09A,37.7,-117.2,Sub_lithospheric,1.3,2,4.0
7A,LBDL,37.8,-77.6,Sub_lithospheric,0.9,1,4.0
TA,Y19A,34.0,-109.3,Sub_lithospheric,1.7,2,4.0
NE,WVL,44.6,-69.7,Sub_lithospheric,0.8,4,4.0
TA,E53A,46.4,-77.7,Sub_lithospheric,1.2,2,4.0
TA,G43A,45.3,-87.7,Sub_lithospheric,1.7,1,4.0
Z9,D05,33.8,-82.5,Sub_lithospheric,0.8,3,4.0
TA,K18A,42.6,-110.0,Sub_lithospheric,1.2,1,4.0
TA,TFRD,33.5,-116.6,Sub_lithospheric,1.2,3,4.0
US,NEW,48.3,-117.1,Sub_lithospheric,1.2,1,4.0
TA,TASL,34.9,-106.5,Sub_lithospheric,1.0,1,4.0
TA,Q54A,39.0,-80.8,Sub_lithospheric,1.2,1,4.0
TA,I64A,43.9,-69.6,Sub_lithospheric,0.8,1,4.0
TX,435B,30.8,-97.6,Sub_lithospheric,0.8,1,4.0
TA,F33A,45.8,-96.3,Sub_lithospheric,1.2,2,4.0
TA,F13A,45.8,-114.3,Sub_lithospheric,1.7,1,4.0
TA,F05A,45.9,-121.5,Sub_lithospheric,1.0,1,4.0
TA,K11A,42.8,-116.0,Sub_lithospheric,1.2,1,4.0
