longitude,latitude,depth,vsv,vp
-100.0,29.25,120.0,4.49459,8.04011
-99.75,29.25,120.0,4.51125,8.07057
-99.5,29.25,120.0,4.52887,8.1019
-99.25,29.25,120.0,4.54432,8.13033
-99.0,29.25,120.0,4.55968,8.15782
-98.75,29.25,120.0,4.56674,8.17002
-98.5,29.25,120.0,4.56393,8.1655
-98.25,29.25,120.0,4.53593,8.11533
-98.0,29.25,120.0,4.51205,8.07212
-97.75,29.25,120.0,4.49355,8.03897
-97.5,29.25,120.0,4.48274,8.02108
-97.25,29.25,120.0,4.48232,8.01653
-97.0,29.25,120.0,4.4974,8.04399
-96.75,29.25,120.0,4.51767,8.08182
-96.5,29.25,120.0,4.55182,8.14428
-96.25,29.25,120.0,4.57175,8.18014
-96.0,29.25,120.0,4.57744,8.19033
-95.75,29.25,120.0,4.58982,8.21296
-95.5,29.25,120.0,4.60755,8.24532
-95.25,29.25,120.0,4.61542,8.2589
-95.0,29.25,120.0,4.61517,8.25697
-91.0,29.25,120.0,4.42138,7.91455
-90.75,29.25,120.0,4.43107,7.93541
-90.5,29.25,120.0,4.43653,7.94925
-90.25,29.25,120.0,4.43734,7.9555
-90.0,29.25,120.0,4.43833,7.92053
-89.75,29.25,120.0,4.44156,7.92464
-89.5,29.25,120.0,4.44424,7.97244
-83.75,29.25,120.0,4.4506,7.95581
-83.5,29.25,120.0,4.42266,7.90674
-83.25,29.25,120.0,4.41939,7.90315
-83.0,29.25,120.0,4.43932,7.93991
-82.75,29.25,120.0,4.4823,8.01821
-82.5,29.25,120.0,4.51923,8.08465
-82.25,29.25,120.0,4.52987,8.10373
-82.0,29.25,120.0,4.53195,8.10753
-81.75,29.25,120.0,4.53864,8.11992
-81.5,29.25,120.0,4.54581,8.13346
-81.25,29.25,120.0,4.55095,8.14328
-81.0,29.25,120.0,4.55211,8.14573
-80.75,29.25,120.0,4.55035,8.14262
-104.5,29.5,120.0,4.3867,7.84772
-104.25,29.5,120.0,4.38985,7.85363
-104.0,29.5,120.0,4.39721,7.86621
-103.75,29.5,120.0,4.40651,7.87955
-103.5,29.5,120.0,4.41156,7.89689
-103.25,29.5,120.0,4.41505,7.90328
-103.0,29.5,120.0,4.41072,7.88505
-102.75,29.5,120.0,4.40896,7.88485
-102.5,29.5,120.0,4.40378,7.87634
-101.0,29.5,120.0,4.47878,8.01341
-100.75,29.5,120.0,4.46273,7.98488
-100.5,29.5,120.0,4.46463,7.98833
-100.25,29.5,120.0,4.47688,8.01046
-100.0,29.5,120.0,4.49303,8.0395
-99.75,29.5,120.0,4.51782,8.08203
-99.5,29.5,120.0,4.52,8.08514
-99.25,29.5,120.0,4.53186,8.10592
-99.0,29.5,120.0,4.53557,8.11258
-98.75,29.5,120.0,4.53737,8.11613
-98.5,29.5,120.0,4.54601,8.13315
-98.25,29.5,120.0,4.52698,8.09849
-98.0,29.5,120.0,4.50268,8.05592
-97.75,29.5,120.0,4.49218,8.03766
-97.5,29.5,120.0,4.48789,8.02788
-97.25,29.5,120.0,4.4947,8.0412
-97.0,29.5,120.0,4.52558,8.0945
-96.75,29.5,120.0,4.54655,8.13319
-96.5,29.5,120.0,4.57359,8.18281
-96.25,29.5,120.0,4.58519,8.20385
-96.0,29.5,120.0,4.5804,8.19516
-95.75,29.5,120.0,4.59594,8.22332
-95.5,29.5,120.0,4.62454,8.27563
-95.25,29.5,120.0,4.63389,8.29148
-95.0,29.5,120.0,4.63356,8.28903
-91.0,29.5,120.0,4.43394,7.93657
-90.75,29.5,120.0,4.44486,7.95911
-90.5,29.5,120.0,4.44982,7.97208
-90.25,29.5,120.0,4.4457,7.9366
-90.0,29.5,120.0,4.4449,7.93264
-89.75,29.5,120.0,4.45125,7.98413
-89.5,29.5,120.0,4.45546,7.99043
-89.25,29.5,120.0,4.45236,7.98526
-83.75,29.5,120.0,4.4507,7.95496
-83.5,29.5,120.0,4.4258,7.91141
-83.25,29.5,120.0,4.42009,7.90319
-83.0,29.5,120.0,4.42727,7.91702
-82.75,29.5,120.0,4.46805,7.99167
-82.5,29.5,120.0,4.49329,8.03788
-82.25,29.5,120.0,4.50215,8.05406
-82.0,29.5,120.0,4.49158,8.03526
-81.75,29.5,120.0,4.5181,8.08275
-81.5,29.5,120.0,4.54451,8.13052
-81.25,29.5,120.0,4.56179,8.16215
-81.0,29.5,120.0,4.56253,8.16394
-80.75,29.5,120.0,4.5563,8.15299
-104.5,29.75,120.0,4.38372,7.84214
-104.25,29.75,120.0,4.38543,7.845
-104.0,29.75,120.0,4.39361,7.85881
-103.75,29.75,120.0,4.40482,7.87754
-103.5,29.75,120.0,4.41782,7.89893
-103.25,29.75,120.0,4.41952,7.90069
-103.0,29.75,120.0,4.4181,7.90001
-102.75,29.75,120.0,4.41745,7.90095
-102.5,29.75,120.0,4.40095,7.87184
-102.25,29.75,120.0,4.39331,7.85843
-102.0,29.75,120.0,4.41119,7.89059
-101.75,29.75,120.0,4.44888,7.9577
-101.5,29.75,120.0,4.48895,8.02872
-101.25,29.75,120.0,4.50959,8.06887
-101.0,29.75,120.0,4.49651,8.04524
-100.75,29.75,120.0,4.48629,8.02669
-100.5,29.75,120.0,4.49745,8.04588
-100.25,29.75,120.0,4.51393,8.07568
-100.0,29.75,120.0,4.53398,8.11165
-99.75,29.75,120.0,4.54726,8.13549
-99.5,29.75,120.0,4.53595,8.11672
-99.25,29.75,120.0,4.52884,8.09874
-99.0,29.75,120.0,4.52313,8.0885
-98.75,29.75,120.0,4.52682,8.09518
-98.5,29.75,120.0,4.53185,8.10488
-98.25,29.75,120.0,4.51378,8.07428
-98.0,29.75,120.0,4.49536,8.04281
-97.75,29.75,120.0,4.48122,8.01844
-97.5,29.75,120.0,4.47806,8.01064
-97.25,29.75,120.0,4.49453,8.04023
-97.0,29.75,120.0,4.53501,8.11229
-96.75,29.75,120.0,4.54828,8.13637
-96.5,29.75,120.0,4.56117,8.15989
-96.25,29.75,120.0,4.57325,8.18169
-96.0,29.75,120.0,4.58183,8.19727
-95.75,29.75,120.0,4.60042,8.23082
-95.5,29.75,120.0,4.62859,8.28135
-95.25,29.75,120.0,4.64233,8.30529
-95.0,29.75,120.0,4.64372,8.30592
-94.75,29.75,120.0,4.63259,8.28454
-94.5,29.75,120.0,4.62405,8.26812
-94.25,29.75,120.0,4.62116,8.26122
-94.0,29.75,120.0,4.61826,8.25435
-93.75,29.75,120.0,4.609,8.2376
-93.5,29.75,120.0,4.58834,8.20175
-93.25,29.75,120.0,4.54175,8.12011
-93.0,29.75,120.0,4.4381,7.93451
-92.75,29.75,120.0,4.38167,7.82902
-92.5,29.75,120.0,4.36533,7.79674
-92.25,29.75,120.0,4.36491,7.82266
-92.0,29.75,120.0,4.38923,7.83909
-91.75,29.75,120.0,4.41394,7.88744
-91.5,29.75,120.0,4.42743,7.91752
-91.25,29.75,120.0,4.43577,7.93682
-91.0,29.75,120.0,4.4453,7.95645
-90.75,29.75,120.0,4.45805,7.98131
-90.5,29.75,120.0,4.4637,7.99496
-90.25,29.75,120.0,4.44998,7.94504
-90.0,29.75,120.0,4.44767,7.93772
-89.75,29.75,120.0,4.46384,8.00354
-89.5,29.75,120.0,4.47401,8.01763
-89.25,29.75,120.0,4.46569,8.00486
-85.5,29.75,120.0,4.50013,8.04364
-85.25,29.75,120.0,4.49783,8.03953
-85.0,29.75,120.0,4.52944,8.09561
-84.75,29.75,120.0,4.58274,8.19037
-84.5,29.75,120.0,4.6157,8.24991
-84.25,29.75,120.0,4.59649,8.22827
-84.0,29.75,120.0,4.52808,8.09446
-83.75,29.75,120.0,4.48369,8.01446
-83.5,29.75,120.0,4.44552,7.94618
-83.25,29.75,120.0,4.42718,7.91417
-83.0,29.75,120.0,4.43188,7.92432
-82.75,29.75,120.0,4.44648,7.95143
-82.5,29.75,120.0,4.46565,7.98682
-82.25,29.75,120.0,4.48471,8.02171
-82.0,29.75,120.0,4.49263,8.03673
-81.75,29.75,120.0,4.51135,8.07047
-81.5,29.75,120.0,4.53002,8.10412
-81.25,29.75,120.0,4.54816,8.137
-81.0,29.75,120.0,4.56386,8.16565
-104.5,30.0,120.0,4.37965,7.83418
-104.25,30.0,120.0,4.37815,7.83144
-104.0,30.0,120.0,4.38785,7.84868
-103.75,30.0,120.0,4.40697,7.88248
-103.5,30.0,120.0,4.42261,7.91079
-103.25,30.0,120.0,4.4261,7.91555
-103.0,30.0,120.0,4.42734,7.91843
-102.75,30.0,120.0,4.43103,7.92623
-102.5,30.0,120.0,4.40091,7.87226
-102.25,30.0,120.0,4.39069,7.85411
-102.0,30.0,120.0,4.41046,7.88979
-101.75,30.0,120.0,4.45132,7.9621
-101.5,30.0,120.0,4.50455,8.05657
-101.25,30.0,120.0,4.53266,8.11006
-101.0,30.0,120.0,4.51128,8.07154
-100.75,30.0,120.0,4.50266,8.05529
-100.5,30.0,120.0,4.51524,8.07809
-100.25,30.0,120.0,4.53629,8.11579
-100.0,30.0,120.0,4.57035,8.1763
-99.75,30.0,120.0,4.56952,8.17523
-99.5,30.0,120.0,4.5452,8.13337
-99.25,30.0,120.0,4.52566,8.09995
-99.0,30.0,120.0,4.51127,8.07536
-98.75,30.0,120.0,4.52149,8.08444
-98.5,30.0,120.0,4.52793,8.0963
-98.25,30.0,120.0,4.51357,8.07268
-98.0,30.0,120.0,4.48925,8.03172
-97.75,30.0,120.0,4.46744,7.9945
-97.5,30.0,120.0,4.46887,7.99464
-97.25,30.0,120.0,4.49382,8.03865
-97.0,30.0,120.0,4.53569,8.11377
-96.75,30.0,120.0,4.54775,8.13539
-96.5,30.0,120.0,4.55469,8.14729
