longitude,latitude,depth,vsv,vp
-99.75,29.5,100.0,4.50688,8.06239
-99.5,29.5,100.0,4.51868,8.08294
-99.25,29.5,100.0,4.53885,8.12167
-99.0,29.5,100.0,4.54892,8.13884
-98.75,29.5,100.0,4.55109,8.14234
-98.5,29.5,100.0,4.55185,8.14388
-98.25,29.5,100.0,4.53213,8.10833
-98.0,29.5,100.0,4.49282,8.03846
-97.75,29.5,100.0,4.47261,8.00248
-97.5,29.5,100.0,4.47185,7.99951
-97.25,29.5,100.0,4.49144,8.0343
-97.0,29.5,100.0,4.53239,8.10905
-96.75,29.5,100.0,4.54877,8.13847
-96.5,29.5,100.0,4.56965,8.1741
-96.25,29.5,100.0,4.57782,8.18722
-96.0,29.5,100.0,4.57444,8.182
-95.75,29.5,100.0,4.59979,8.22812
-95.5,29.5,100.0,4.63638,8.29333
-95.25,29.5,100.0,4.6538,8.32576
-95.0,29.5,100.0,4.66178,8.34075
-91.0,29.5,100.0,4.50627,8.07112
-90.75,29.5,100.0,4.51484,8.06788
-90.5,29.5,100.0,4.52993,8.09717
-90.25,29.5,100.0,4.55196,8.13733
-90.0,29.5,100.0,4.5691,8.16759
-89.75,29.5,100.0,4.58308,8.18994
-89.5,29.5,100.0,4.58944,8.19955
-89.25,29.5,100.0,4.58639,8.19446
-83.75,29.5,100.0,4.53582,8.12676
-83.5,29.5,100.0,4.52854,8.08859
-83.25,29.5,100.0,4.52135,8.0785
-83.0,29.5,100.0,4.50763,8.05516
-82.75,29.5,100.0,4.51271,8.06799
-82.5,29.5,100.0,4.51715,8.07849
-82.25,29.5,100.0,4.51469,8.0748
-82.0,29.5,100.0,4.50166,8.0514
-81.75,29.5,100.0,4.52455,8.09376
-81.5,29.5,100.0,4.55424,8.14771
-81.25,29.5,100.0,4.57749,8.18957
-81.0,29.5,100.0,4.58363,8.2007
-80.75,29.5,100.0,4.58018,8.19471
-104.5,29.75,100.0,4.32212,7.73955
-104.25,29.75,100.0,4.32416,7.74276
-104.0,29.75,100.0,4.33316,7.75699
-103.75,29.75,100.0,4.34473,7.77501
-103.5,29.75,100.0,4.35846,7.79593
-103.25,29.75,100.0,4.36158,7.79929
-103.0,29.75,100.0,4.36307,7.80444
-102.75,29.75,100.0,4.36773,7.81603
-102.5,29.75,100.0,4.3669,7.81392
-102.25,29.75,100.0,4.36907,7.81731
-102.0,29.75,100.0,4.39412,7.86165
-101.75,29.75,100.0,4.43093,7.92712
-101.5,29.75,100.0,4.46969,7.99523
-101.25,29.75,100.0,4.495,8.03948
-101.0,29.75,100.0,4.48568,8.02348
-100.75,29.75,100.0,4.4801,8.01432
-100.5,29.75,100.0,4.49478,8.04095
-100.25,29.75,100.0,4.51169,8.07139
-100.0,29.75,100.0,4.53026,8.10498
-99.75,29.75,100.0,4.54511,8.13223
-99.5,29.75,100.0,4.54169,8.12518
-99.25,29.75,100.0,4.54328,8.12819
-99.0,29.75,100.0,4.54513,8.13238
-98.75,29.75,100.0,4.54856,8.13856
-98.5,29.75,100.0,4.54974,8.14028
-98.25,29.75,100.0,4.51917,8.08483
-98.0,29.75,100.0,4.488,8.0281
-97.75,29.75,100.0,4.46473,7.98904
-97.5,29.75,100.0,4.46191,7.98207
-97.25,29.75,100.0,4.48581,8.02337
-97.0,29.75,100.0,4.53582,8.11563
-96.75,29.75,100.0,4.54851,8.13813
-96.5,29.75,100.0,4.55943,8.15723
-96.25,29.75,100.0,4.57009,8.17606
-96.0,29.75,100.0,4.58314,8.19916
-95.75,29.75,100.0,4.60867,8.24482
-95.5,29.75,100.0,4.64569,8.31136
-95.25,29.75,100.0,4.66237,8.3416
-95.0,29.75,100.0,4.66641,8.34935
-94.75,29.75,100.0,4.66509,8.34618
-94.5,29.75,100.0,4.67985,8.37009
-94.25,29.75,100.0,4.69271,8.39048
-94.0,29.75,100.0,4.69815,8.39783
-93.75,29.75,100.0,4.6901,8.38311
-93.5,29.75,100.0,4.66799,8.34489
-93.25,29.75,100.0,4.62436,8.26894
-93.0,29.75,100.0,4.54421,8.1254
-92.75,29.75,100.0,4.50319,8.04298
-92.5,29.75,100.0,4.48452,8.00187
-92.25,29.75,100.0,4.4912,8.05616
-92.0,29.75,100.0,4.50457,8.04003
-91.75,29.75,100.0,4.51191,8.06128
-91.5,29.75,100.0,4.50793,8.06349
-91.25,29.75,100.0,4.50159,8.05836
-91.0,29.75,100.0,4.50007,8.05886
-90.75,29.75,100.0,4.50812,8.05931
-90.5,29.75,100.0,4.52397,8.08912
-90.25,29.75,100.0,4.55694,8.14801
-90.0,29.75,100.0,4.57507,8.1793
-89.75,29.75,100.0,4.59397,8.20662
-89.5,29.75,100.0,4.60175,8.21686
-89.25,29.75,100.0,4.59401,8.20503
-85.5,29.75,100.0,4.59992,8.21293
-85.25,29.75,100.0,4.59918,8.21146
-85.0,29.75,100.0,4.62018,8.27922
-84.75,29.75,100.0,4.65324,8.332
-84.5,29.75,100.0,4.66084,8.34104
-84.25,29.75,100.0,4.62093,8.26776
-84.0,29.75,100.0,4.57557,8.18973
-83.75,29.75,100.0,4.54614,8.13968
-83.5,29.75,100.0,4.52212,8.10059
-83.25,29.75,100.0,4.51064,8.05564
-83.0,29.75,100.0,4.49883,8.03643
-82.75,29.75,100.0,4.49673,8.0539
-82.5,29.75,100.0,4.49942,8.05566
-82.25,29.75,100.0,4.50881,8.0621
-82.0,29.75,100.0,4.50823,8.06231
-81.75,29.75,100.0,4.52195,8.08849
-81.5,29.75,100.0,4.53916,8.12024
-81.25,29.75,100.0,4.5595,8.15713
-81.0,29.75,100.0,4.57947,8.19309
-104.5,30.0,100.0,4.31792,7.73051
-104.25,30.0,100.0,4.31632,7.7275
-104.0,30.0,100.0,4.32556,7.74389
-103.75,30.0,100.0,4.34497,7.77783
-103.5,30.0,100.0,4.36176,7.80829
-103.25,30.0,100.0,4.36828,7.81641
-103.0,30.0,100.0,4.37316,7.8257
-102.75,30.0,100.0,4.38257,7.84449
-102.5,30.0,100.0,4.37116,7.82194
-102.25,30.0,100.0,4.37173,7.82206
-102.0,30.0,100.0,4.4005,7.87284
-101.75,30.0,100.0,4.43389,7.93239
-101.5,30.0,100.0,4.48557,8.02329
-101.25,30.0,100.0,4.51981,8.08437
-101.0,30.0,100.0,4.50467,8.05838
-100.75,30.0,100.0,4.50701,8.06295
-100.5,30.0,100.0,4.52807,8.09962
-100.25,30.0,100.0,4.54354,8.12813
-100.0,30.0,100.0,4.57644,8.18795
-99.75,30.0,100.0,4.57605,8.18741
-99.5,30.0,100.0,4.557,8.15279
-99.25,30.0,100.0,4.54736,8.13595
-99.0,30.0,100.0,4.54182,8.12675
-98.75,30.0,100.0,4.54667,8.13541
-98.5,30.0,100.0,4.54914,8.13944
-98.25,30.0,100.0,4.52371,8.09329
-98.0,30.0,100.0,4.4842,8.02162
-97.75,30.0,100.0,4.45087,7.96124
-97.5,30.0,100.0,4.45211,7.96512
-97.25,30.0,100.0,4.48271,8.01728
-97.0,30.0,100.0,4.53381,8.11214
-96.75,30.0,100.0,4.54665,8.13498
-96.5,30.0,100.0,4.55472,8.14985
-96.25,30.0,100.0,4.56307,8.16536
-96.0,30.0,100.0,4.58365,8.20116
-95.75,30.0,100.0,4.62023,8.26578
-95.5,30.0,100.0,4.65971,8.33644
-95.25,30.0,100.0,4.66427,8.34494
-95.0,30.0,100.0,4.66003,8.33827
-94.75,30.0,100.0,4.64805,8.31643
-94.5,30.0,100.0,4.67426,8.35972
-94.25,30.0,100.0,4.69338,8.39153
-94.0,30.0,100.0,4.70453,8.40893
-93.75,30.0,100.0,4.69656,8.39574
-93.5,30.0,100.0,4.67812,8.36552
-93.25,30.0,100.0,4.64376,8.30749
-93.0,30.0,100.0,4.52631,8.10115
-92.75,30.0,100.0,4.49243,8.02858
-92.5,30.0,100.0,4.47088,7.98196
-92.25,30.0,100.0,4.49012,8.05066
-92.0,30.0,100.0,4.5131,8.0604
-91.75,30.0,100.0,4.5241,8.08628
-91.5,30.0,100.0,4.51344,8.07512
-91.25,30.0,100.0,4.49916,8.05427
-91.0,30.0,100.0,4.49156,8.02865
-90.75,30.0,100.0,4.50044,8.04782
-90.5,30.0,100.0,4.51276,8.07087
-90.25,30.0,100.0,4.56434,8.16266
-90.0,30.0,100.0,4.57639,8.18329
-89.75,30.0,100.0,4.60425,8.25229
-89.5,30.0,100.0,4.61394,8.26191
-89.25,30.0,100.0,4.6013,8.24175
-85.75,30.0,100.0,4.62265,8.28021
-85.5,30.0,100.0,4.59868,8.24292
-85.25,30.0,100.0,4.58858,8.19155
-85.0,30.0,100.0,4.61295,8.26735
-84.75,30.0,100.0,4.65989,8.34284
-84.5,30.0,100.0,4.67824,8.37098
-84.25,30.0,100.0,4.63638,8.29474
-84.0,30.0,100.0,4.58438,8.20302
-83.75,30.0,100.0,4.5477,8.13938
-83.5,30.0,100.0,4.52166,8.09474
-83.25,30.0,100.0,4.5014,8.06084
-83.0,30.0,100.0,4.48355,8.02852
-82.75,30.0,100.0,4.48538,8.03092
-82.5,30.0,100.0,4.49682,8.04971
-82.25,30.0,100.0,4.51132,8.0752
-82.0,30.0,100.0,4.51785,8.07923
-81.75,30.0,100.0,4.53124,8.10505
-81.5,30.0,100.0,4.53788,8.11763
-81.25,30.0,100.0,4.54744,8.13523
