Network,Station,CoveredEpicentralDistances,UncoveredEpicentralDistances,EpiDistRatio,Accepted,faceLon,faceLat,AcceptedNumeric,nrec,BazRatio,AvgSNR
AK,TOLK,36,25,0.590163934426229,No,-149.6,68.6,0,276,0.127423822714681,13.999838556725
AK,U33K,13,48,0.213114754098361,Yes,-133.1,56.1,1,14,0.0332409972299169,12.190519910018
AK,UNV,48,13,0.786885245901639,Yes,-166.5,53.8,1,179,0.227146814404432,13.318636524902
AK,V35K,16,45,0.262295081967213,No,-131.6,55.3,0,22,0.0415512465373961,10.6292932132514
AK,WAT1,23,38,0.377049180327869,No,-148.6,62.8,0,36,0.074792243767313,18.4189083861924
AK,WAT2,31,30,0.508196721311475,No,-148.6,63.0,0,62,0.119113573407202,15.3648293040301
AK,WAT6,50,11,0.819672131147541,No,-147.7,62.6,0,180,0.229916897506925,13.9746621633965
AT,CHGN,18,43,0.295081967213115,No,-158.4,56.3,0,21,0.0554016620498615,10.4380629994899
AT,CRAG,40,21,0.655737704918033,No,-133.1,55.5,0,103,0.171745152354571,11.9671907717038
AT,OHAK,43,18,0.704918032786885,No,-153.3,57.2,0,135,0.213296398891967,11.376037351903
AT,PMR,61,0,1.0,Yes,-149.1,61.6,1,463,0.409972299168975,14.7371163773802
AT,SDPT,35,26,0.573770491803279,No,-160.5,55.3,0,76,0.135734072022161,10.4504048935489
AT,SIT,48,13,0.786885245901639,Yes,-135.3,57.1,1,131,0.193905817174515,14.1328878082767
AT,SKAG,58,3,0.950819672131147,No,-135.3,59.5,0,245,0.28808864265928,14.6990923218263
AT,TTA,32,29,0.524590163934426,No,-156.0,62.9,0,69,0.130193905817175,14.8091400734988
AV,N20K,19,42,0.311475409836066,No,-152.2,61.2,0,26,0.0498614958448753,13.2662881005895
AV,N25K,37,24,0.60655737704918,No,-144.6,61.6,0,69,0.116343490304709,11.2107167158912
AV,P18K,14,47,0.229508196721311,Yes,-155.2,59.4,1,18,0.0443213296398892,9.57430997792911
AV,P19K,14,47,0.229508196721311,No,-153.2,59.7,0,15,0.0415512465373961,17.3081851061818
AV,Q17K,6,55,0.0983606557377049,No,-155.9,58.3,0,6,0.0166204986149584,15.3227526137122
AV,Q18K,24,37,0.39344262295082,No,-155.0,58.6,0,34,0.07202216066482,12.3556414464179
AV,Q20K,9,52,0.147540983606557,No,-152.4,58.6,0,12,0.0277008310249307,12.9480862909076
AV,R17L,19,42,0.311475409836066,No,-156.4,57.6,0,25,0.0664819944598338,13.1695132524949
AV,S12K,1,60,0.0163934426229508,Yes,-162.1,55.7,1,1,0.002770083102493,8.05119982014275
AV,S14K,2,59,0.0327868852459016,No,-159.6,56.3,0,2,0.0055401662049861,11.8509922707586
AV,SPCR,47,14,0.770491803278688,No,-152.2,61.2,0,114,0.174515235457064,13.2535585671559
AZ,MONP,38,23,0.622950819672131,Yes,-116.4,32.9,1,68,0.119113573407202,11.9742381183028
AZ,MONP2,53,8,0.868852459016393,Yes,-116.4,32.9,1,173,0.227146814404432,14.011578929558
AZ,PFO,57,4,0.934426229508197,No,-116.5,33.6,0,228,0.243767313019391,13.6123778757996
